ensemble,case,b,n,s,time_h,eke_25_90N_area_mass_weighted_m2_s-2
standard,BCwave_b1n1s-10,1.0,1,-10,178.0,0.030227972776507
standard,BCwave_b1n1s-10,1.0,1,-10,179.0,0.0314622495775892
standard,BCwave_b1n1s-10,1.0,1,-10,180.0,0.0327503785395465
standard,BCwave_b1n1s-10,1.0,1,-10,181.0,0.0340914753270038
standard,BCwave_b1n1s-10,1.0,1,-10,182.0,0.0354851112841785
standard,BCwave_b1n1s-10,1.0,1,-10,183.0,0.036939822574691
standard,BCwave_b1n1s-10,1.0,1,-10,184.0,0.038467724348192
standard,BCwave_b1n1s-10,1.0,1,-10,185.0,0.0400645623164227
standard,BCwave_b1n1s-10,1.0,1,-10,186.0,0.0417235288881452
standard,BCwave_b1n1s-10,1.0,1,-10,187.0,0.0434532416065823
standard,BCwave_b1n1s-10,1.0,1,-10,188.0,0.0452531521585189
standard,BCwave_b1n1s-10,1.0,1,-10,189.0,0.0471216960926824
standard,BCwave_b1n1s-10,1.0,1,-10,190.0,0.0490713742830927
standard,BCwave_b1n1s-10,1.0,1,-10,191.0,0.0511075150443755
standard,BCwave_b1n1s-10,1.0,1,-10,192.0,0.0532304940198092
standard,BCwave_b1n1s-10,1.0,1,-10,193.0,0.0554486132846993
standard,BCwave_b1n1s-10,1.0,1,-10,194.0,0.0577678308909415
standard,BCwave_b1n1s-10,1.0,1,-10,195.0,0.0601872965642844
standard,BCwave_b1n1s-10,1.0,1,-10,196.0,0.0627064975310326
standard,BCwave_b1n1s-10,1.0,1,-10,197.0,0.0653285760956512
standard,BCwave_b1n1s-10,1.0,1,-10,198.0,0.0680576090451306
standard,BCwave_b1n1s-10,1.0,1,-10,199.0,0.0708961653974686
standard,BCwave_b1n1s-10,1.0,1,-10,200.0,0.0738530070035296
standard,BCwave_b1n1s-10,1.0,1,-10,201.0,0.0769389865239619
standard,BCwave_b1n1s-10,1.0,1,-10,202.0,0.0801623203845854
standard,BCwave_b1n1s-10,1.0,1,-10,203.0,0.0835274845918127
standard,BCwave_b1n1s-10,1.0,1,-10,204.0,0.0870370591613688
