ensemble,case,b,n,s,pressure_hpa,initial_zonal_wind_at_jet_core_m_s-1,initial_eady_growth_rate_day-1,initial_jet_core_latitude_deg
standard,BCwave_b1n6s5,1.0,6,5,250.0,7.100451482666863,0.44294132508770656,49.5
standard,BCwave_b1n6s5,1.0,6,5,300.0,9.893147055308024,0.4357992615459378,49.5
standard,BCwave_b1n6s5,1.0,6,5,400.0,13.863696093029446,0.24094767225897643,49.5
standard,BCwave_b1n6s5,1.0,6,5,500.0,15.006826300091214,0.03725530284920116,49.5
standard,BCwave_b1n6s5,1.0,6,5,600.0,13.761236974928114,0.3246111755316258,49.5
standard,BCwave_b1n6s5,1.0,6,5,700.0,10.977501368522644,0.5706447157605768,49.5
standard,BCwave_b1n6s5,1.0,6,5,850.0,5.539067987600962,0.8445018090620569,49.5
standard,BCwave_b1n6s5,1.0,6,5,925.0,2.722031580077277,0.9440693222605697,49.5
standard,BCwave_b1n6s5,1.0,6,5,975.0,0.9026719982425372,0.9733478758527206,49.5
standard,BCwave_b1n6s5,1.0,6,5,1000.0,0.02222923584027841,0.9742493497475376,49.5
standard,BCwave_b1n6s10,1.0,6,10,10.0,0.019456855668249774,0.00686379083658117,54.5
standard,BCwave_b1n6s10,1.0,6,10,50.0,0.03160368050254571,0.0077232721755351,54.5
standard,BCwave_b1n6s10,1.0,6,10,100.0,0.4094161297712061,0.060193508228769954,54.5
standard,BCwave_b1n6s10,1.0,6,10,150.0,1.8113663703203202,0.2077596079059811,54.5
standard,BCwave_b1n6s10,1.0,6,10,200.0,4.21938939359453,0.38385272167972223,54.5
standard,BCwave_b1n6s10,1.0,6,10,250.0,7.100926042927636,0.477644084481182,54.5
standard,BCwave_b1n6s10,1.0,6,10,300.0,9.892463790045845,0.46331263899467895,54.5
standard,BCwave_b1n6s10,1.0,6,10,400.0,13.861230103174845,0.25036183860126604,54.5
standard,BCwave_b1n6s10,1.0,6,10,500.0,15.004180534680684,0.038272028640403674,54.5
standard,BCwave_b1n6s10,1.0,6,10,600.0,13.759506776597764,0.3339919455762728,54.5
standard,BCwave_b1n6s10,1.0,6,10,700.0,10.976843831274245,0.592076342918091,54.5
standard,BCwave_b1n6s10,1.0,6,10,850.0,5.539729494518704,0.8939003333557206,54.5
standard,BCwave_b1n6s10,1.0,6,10,925.0,2.723261714643902,1.0107174350751031,54.5
standard,BCwave_b1n6s10,1.0,6,10,975.0,0.9042653020885255,1.049540685204915,54.5
standard,BCwave_b1n6s10,1.0,6,10,1000.0,0.024243082855750546,1.053856314919169,54.5
standard,BCwave_b15n1s-10,1.5,1,-10,10.0,0.027320402605174522,0.04850908001141799,34.5
standard,BCwave_b15n1s-10,1.5,1,-10,50.0,1.9428310675753488,0.08542157356135069,34.5
standard,BCwave_b15n1s-10,1.5,1,-10,100.0,7.652703188525306,0.2082935392149966,34.5
standard,BCwave_b15n1s-10,1.5,1,-10,150.0,13.445056992106968,0.32595590016239484,34.5
standard,BCwave_b15n1s-10,1.5,1,-10,200.0,17.862335597144234,0.32482866822456835,34.5
standard,BCwave_b15n1s-10,1.5,1,-10,250.0,20.705799690882365,0.23666905216720738,34.5
standard,BCwave_b15n1s-10,1.5,1,-10,300.0,22.179176478915743,0.11251150128212753,34.5
standard,BCwave_b15n1s-10,1.5,1,-10,400.0,22.12580443488227,0.14484914570563132,34.5
standard,BCwave_b15n1s-10,1.5,1,-10,500.0,19.619473960664536,0.3552571730722196,34.5
standard,BCwave_b15n1s-10,1.5,1,-10,600.0,15.932714578840468,0.504711213964613,34.5
standard,BCwave_b15n1s-10,1.5,1,-10,700.0,11.805749413702223,0.5963359904016963,34.5
standard,BCwave_b15n1s-10,1.5,1,-10,850.0,5.633665664990743,0.6732112136142837,34.5
standard,BCwave_b15n1s-10,1.5,1,-10,925.0,2.736036936442057,0.7028238386134433,34.5
standard,BCwave_b15n1s-10,1.5,1,-10,975.0,0.9022720537251896,0.7078975234750113,34.5
