case,b,n,s,mode,threshold_hpa,time_index,time_hour,target_id,n_source_ids,source_ids,source_1_id,source_2_id,source_1_overlap_pixels,source_2_overlap_pixels,child_area_km2,child_equivalent_radius_km,child_centroid_lat,child_centroid_lon,child_meridional_extent_km,child_zonal_extent_km,child_minimum_hpa,child_mean_hpa,child_touches_south_boundary,child_touches_north_boundary,child_touches_longitude_seam,parent_1_area_km2,parent_1_equivalent_radius_km,parent_1_centroid_lat,parent_1_centroid_lon,parent_1_meridional_extent_km,parent_1_zonal_extent_km,parent_1_minimum_hpa,parent_1_mean_hpa,parent_1_touches_south_boundary,parent_1_touches_north_boundary,parent_1_touches_longitude_seam,parent_2_area_km2,parent_2_equivalent_radius_km,parent_2_centroid_lat,parent_2_centroid_lon,parent_2_meridional_extent_km,parent_2_zonal_extent_km,parent_2_minimum_hpa,parent_2_mean_hpa,parent_2_touches_south_boundary,parent_2_touches_north_boundary,parent_2_touches_longitude_seam,full_event_index,partition,matched_eddy_event,track_target_distance_deg,primary_track_id,secondary_track_id,primary_first_time_index,secondary_first_time_index,primary_marker_lat,primary_marker_lon,secondary_marker_lat,secondary_marker_lon,track_target_lat,track_target_lon,selection_rule,available_minus24,available_plus24,available_plus48,atlas_event_id,page,row_on_page,hemisphere
BCwave_b1n3s5,1.0,3,5,full,990.0,305,306,2.0,2.0,2;4,2.0,4.0,344.0,44.0,2446797.0513544586,882.5189465000014,59.648461564271216,114.14976902876066,1556.73,2584.615093385534,970.84423828125,981.2457275390624,False,False,False,2084293.5201117788,814.525158089296,60.48768997154465,117.1010810909419,1223.145,1862.3782051862352,970.912841796875,980.4649658203124,False,False,False,342793.448790059,330.3249062194868,54.66937550910578,93.81006218667308,444.78,835.9438788761555,982.519775390625,986.6165161132812,False,False,False,0,full_field_only_zonalization_signature,False,1.4210854715202004e-14,1,2,200,224,60.487689971544654,117.1010810909419,54.66937550910579,93.81006218667308,59.6484615642712,114.14976902876066,first NH primary-track coalescence; exact 2-to-1 only,True,True,True,21,3,5,NH
BCwave_b1n6s5,1.0,6,5,full,990.0,319,320,1.0,2.0,1;2,1.0,2.0,255.0,32.0,1851259.6110090308,767.6419973379083,58.61238569732029,114.49731369389671,1223.145,2374.4390567265923,976.7464599609376,983.74267578125,False,False,False,1615374.2817312574,717.0701526085849,59.18567517311104,117.04057057663472,1111.9499999999998,1651.854037777488,976.69580078125,983.2462158203124,False,False,False,256150.3124859057,285.5436513273077,54.8374619085607,95.19147559961492,333.585,768.443625456545,985.8574829101562,988.05078125,False,False,False,0,full_field_only_zonalization_signature,False,2.131628207280301e-14,1,2,205,235,59.18567517311107,117.04057057663472,54.837461908560726,95.19147559961492,58.61238569732031,114.49731369389671,first NH primary-track coalescence; exact 2-to-1 only,True,True,False,22,3,6,NH
BCwave_b15n1s5,1.5,1,5,full,990.0,243,244,2.0,2.0,2;4,2.0,4.0,543.0,282.0,4327062.667470677,1173.604202954608,65.59131586790501,120.42871350140727,2557.485,3216.534630145027,944.11083984375,973.2293090820312,False,False,False,2603683.4199471944,910.3725463028936,66.5313464353319,133.3451727073118,2557.485,1815.60739055291,944.6761474609376,971.6517333984376,False,False,False,1609308.8636059652,715.7226566268391,63.2753054386374,97.1043524802938,1445.535,1400.1354195531176,954.1817016601562,976.226806640625,False,False,False,0,local_wave_scale_coalescence,True,1.4210854715202004e-14,1,2,174,196,66.53134643533188,133.3451727073118,63.27530543863742,97.1043524802938,65.59131586790502,120.42871350140727,first NH primary-track coalescence; exact 2-to-1 only,True,True,True,23,3,7,NH
BCwave_b15n3s5,1.5,3,5,full,990.0,259,260,1.0,2.0,1;2,1.0,2.0,395.0,173.0,3586266.15740984,1068.4306118742136,59.881072744513794,116.11977957881544,1779.12,3124.646701896559,962.9209594726562,977.9385375976562,False,False,False,2350723.854194016,865.0194463004974,60.70144871196601,125.76045875590223,1779.12,1741.261755036027,963.1224365234376,976.1671142578124,False,False,False,1163572.967800465,608.5858846104644,57.88700526733928,95.3292085184386,1000.755,1359.5352256310082,970.6707763671876,981.77099609375,False,False,False,0,full_field_only_zonalization_signature,False,7.105427357601002e-15,1,2,177,199,60.701448711966016,125.76045875590223,57.88700526733927,95.3292085184386,59.88107274451379,116.11977957881544,first NH primary-track coalescence; exact 2-to-1 only,True,True,True,24,3,8,NH
BCwave_b15n6s5,1.5,6,5,full,990.0,282,283,1.0,2.0,1;2,1.0,2.0,345.0,130.0,3095630.7479549926,992.6579829168736,59.02849645968031,118.4253134184947,1556.73,3032.779101940476,967.8447875976562,980.3587646484376,False,False,False,2128784.5968134347,823.1726323934071,59.86586828808812,126.42633577626248,1556.73,1730.5063101926387,968.0462646484376,978.9487915039062,False,False,False,909527.2388150636,538.0627397137627,56.85121927691396,98.27452484036442,778.365,1276.8649339189242,976.203857421875,983.8353881835938,False,False,False,0,full_field_only_zonalization_signature,False,2.131628207280301e-14,1,2,182,210,59.86586828808814,126.42633577626248,56.851219276913966,98.27452484036442,59.02849645968033,118.4253134184947,first NH primary-track coalescence; exact 2-to-1 only,True,True,True,25,4,1,NH
BCwave_b2n1s5,2.0,1,5,full,990.0,228,229,1.0,2.0,1;2,1.0,2.0,727.0,355.0,5443109.978733884,1316.2810177984936,65.89068283297385,132.7051537530808,3113.46,3588.244054063383,933.8009643554688,971.1528930664062,False,False,False,3446588.1270716675,1047.4173353781132,65.96938936227193,146.38915840138907,3224.655,2037.660535692556,934.9666137695312,969.4849243164062,False,False,False,1877454.220806623,773.0538398716053,64.73722541597922,105.4543937852339,1667.925,1471.0967228193665,947.6763305664062,975.1179809570312,False,False,False,0,local_wave_scale_coalescence,True,1.4210854715202004e-14,1,2,162,183,65.96938936227191,146.38915840138907,64.73722541597921,105.4543937852339,65.89068283297384,132.7051537530808,first NH primary-track coalescence; exact 2-to-1 only,True,True,True,26,4,2,NH
BCwave_b2n3s5,2.0,3,5,full,990.0,251,252,1.0,2.0,1;2,1.0,2.0,515.0,238.0,4643590.177370759,1215.7716318630955,60.85841818317179,126.63912781421942,2001.51,3465.507877625086,954.118408203125,974.2576904296876,False,False,False,2980274.281851349,973.9870468607792,61.42434206744198,138.100291961118,2001.51,1967.906399701332,954.55712890625,972.0042114257812,False,False,False,1507253.6467273636,692.6570123371961,59.32152721978453,103.02739580991448,1223.145,1475.0812076209531,963.63525390625,978.3786010742188,False,False,False,0,local_wave_scale_coalescence,True,7.105427357601002e-15,1,2,168,190,61.42434206744198,138.100291961118,59.321527219784535,103.02739580991448,60.8584181831718,126.63912781421942,first NH primary-track coalescence; exact 2-to-1 only,True,True,True,27,4,3,NH
BCwave_b2n6s5,2.0,6,5,full,990.0,274,275,1.0,2.0,1;2,1.0,2.0,459.0,195.0,4143462.873903945,1148.4359781020128,59.706500525321815,126.7101565015574,1890.315,3365.4033861980515,960.0736694335938,977.4012451171876,False,False,False,2760454.1752370466,937.379247868905,60.47172036244558,136.89941830189167,1890.315,1972.900752279816,960.1729125976562,975.5599365234376,False,False,False,1296283.3564693213,642.3548922984022,57.795549505911175,104.4801944876037,1111.9499999999998,1362.9911789855196,970.294921875,981.4237670898438,False,False,False,0,full_field_only_zonalization_signature,False,1.6000924780679792e-14,1,2,174,201,60.471720362445566,136.89941830189167,57.7955495059112,104.4801944876037,59.70650052532181,126.71015650155744,first NH primary-track coalescence; exact 2-to-1 only,True,True,True,28,4,4,NH
BCwave_b1n1s10,1.0,1,10,full,990.0,271,272,1.0,2.0,1;4,1.0,4.0,515.0,277.0,3026690.7540417435,981.5424542181348,71.60403891422484,121.23012819101524,2112.705,2737.110238920284,953.96923828125,974.7919921875,False,False,False,1705030.4634091645,736.7007891591179,73.84149988738119,137.46963126383727,1556.73,1516.3082448912664,954.1415405273438,973.9302978515624,False,False,False,1276237.7427109024,637.3688811243967,68.27944949798075,98.78810221194712,1223.145,1275.682376054311,955.776123046875,976.4779663085938,False,False,False,1,full_field_only_zonalization_signature,False,0.0,1,3,190,215,73.84149988738118,137.46963126383727,68.27944949798075,98.78810221194712,71.60403891422484,121.23012819101524,first NH primary-track coalescence; exact 2-to-1 only,True,True,True,29,4,5,NH
BCwave_b1n3s10,1.0,3,10,full,990.0,263,264,1.0,2.0,1;3,1.0,3.0,282.0,106.0,2145646.304459338,826.4263009870408,64.1029341032151,109.39606054213584,1445.535,2525.382728413053,971.2310180664062,981.5217895507812,False,False,False,1451060.1373676765,679.62253286022,65.2182933183546,117.32884275531244,1223.145,1398.2623153261327,971.4151611328124,980.212158203125,False,False,False,636717.26926239,450.1926271166215,61.14498869437044,89.89225676979024,555.9749999999999,1180.5668794278945,978.288330078125,984.6693725585938,False,False,False,0,full_field_only_zonalization_signature,False,1.4210854715202004e-14,1,2,188,211,65.2182933183546,117.32884275531244,61.1449886943704,89.89225676979024,64.10293410321512,109.39606054213584,first NH primary-track coalescence; exact 2-to-1 only,True,True,True,30,4,6,NH
