figure,ensemble,b,metric,pressure_hpa,mean,bootstrap_ci_low,bootstrap_ci_high,n_ns_groups,group_mean_peak_abs_pressure_hpa,group_mean_peak_value
initial_vertical_structure_standard_vs_u30,u30,1.5,initial_vertical_wind_shear,300.0,-0.6994485234220823,-0.7515615891315974,-0.6471390448859893,15,,
initial_vertical_structure_standard_vs_u30,u30,1.5,initial_vertical_wind_shear,400.0,0.8893699501641095,0.8220054565269189,0.9562635372276418,15,,
initial_vertical_structure_standard_vs_u30,u30,1.5,initial_vertical_wind_shear,500.0,2.19317931526651,2.022860752573858,2.3612482496537264,15,,
initial_vertical_structure_standard_vs_u30,u30,1.5,initial_vertical_wind_shear,600.0,3.159438337509831,2.9096566955558956,3.404760389821604,15,,
initial_vertical_structure_standard_vs_u30,u30,1.5,initial_vertical_wind_shear,700.0,3.7858291529119015,3.483197292080149,4.082272637945911,15,,
initial_vertical_structure_standard_vs_u30,u30,1.5,initial_vertical_wind_shear,850.0,4.271728762735923,3.9279704925138503,4.607841688751553,15,,
initial_vertical_structure_standard_vs_u30,u30,1.5,initial_vertical_wind_shear,925.0,4.36043506488204,4.009542476075391,4.703563927129532,15,,
initial_vertical_structure_standard_vs_u30,u30,1.5,initial_vertical_wind_shear,975.0,4.360089187199871,4.009527864788348,4.703045593729864,15,,
initial_vertical_structure_standard_vs_u30,u30,1.5,initial_vertical_wind_shear,1000.0,4.350355841840307,4.000764635469144,4.692477621526146,15,,
initial_vertical_structure_standard_vs_u30,u30,2.0,initial_vertical_wind_shear,10.0,-0.05117673572385684,-0.05501806014459968,-0.04734967251351918,15,,
initial_vertical_structure_standard_vs_u30,u30,2.0,initial_vertical_wind_shear,50.0,-1.4390108253185947,-1.5498147146233048,-1.3306735432706773,15,,
initial_vertical_structure_standard_vs_u30,u30,2.0,initial_vertical_wind_shear,100.0,-1.7454513426249225,-1.880537853964294,-1.6138994150484602,15,,
initial_vertical_structure_standard_vs_u30,u30,2.0,initial_vertical_wind_shear,150.0,-1.2753181780378025,-1.373273769277148,-1.1793002623987074,15,,
initial_vertical_structure_standard_vs_u30,u30,2.0,initial_vertical_wind_shear,200.0,-0.5782123286432276,-0.6219959978867943,-0.534813336659378,15,,
initial_vertical_structure_standard_vs_u30,u30,2.0,initial_vertical_wind_shear,250.0,0.11338384307843323,0.10485255264939042,0.12191709663359991,15,,
initial_vertical_structure_standard_vs_u30,u30,2.0,initial_vertical_wind_shear,300.0,0.7397583879840871,0.6840837449029398,0.7961657866447542,15,,
initial_vertical_structure_standard_vs_u30,u30,2.0,initial_vertical_wind_shear,400.0,1.7199714823315542,1.5891468443442136,1.855590224149637,15,,
initial_vertical_structure_standard_vs_u30,u30,2.0,initial_vertical_wind_shear,500.0,2.3874923897286258,2.2041840909514576,2.580356840432311,15,,
initial_vertical_structure_standard_vs_u30,u30,2.0,initial_vertical_wind_shear,600.0,2.818806112433473,2.6013756512353816,3.048981293104589,15,,
initial_vertical_structure_standard_vs_u30,u30,2.0,initial_vertical_wind_shear,700.0,3.069998137652874,2.832570164464414,3.3202377799898386,15,,
initial_vertical_structure_standard_vs_u30,u30,2.0,initial_vertical_wind_shear,850.0,3.241071105003357,2.9900283754492802,3.5056824652322875,15,,
initial_vertical_structure_standard_vs_u30,u30,2.0,initial_vertical_wind_shear,925.0,3.261529995749394,3.008692231184493,3.52832970675081,15,,
initial_vertical_structure_standard_vs_u30,u30,2.0,initial_vertical_wind_shear,975.0,3.2492725644260645,2.9976100222362825,3.515455292460198,15,,
initial_vertical_structure_standard_vs_u30,u30,2.0,initial_vertical_wind_shear,1000.0,3.238983095313112,2.9881267133168876,3.5041432637566077,15,,
initial_vertical_structure_standard_vs_u30,standard,1.0,initial_meridional_temperature_gradient,10.0,0.00048211255358291777,0.0004017213719083775,0.0005703309854017864,15,,
initial_vertical_structure_standard_vs_u30,standard,1.0,initial_meridional_temperature_gradient,50.0,-0.018851514897259374,-0.020731162623614335,-0.01707167481453572,15,,
initial_vertical_structure_standard_vs_u30,standard,1.0,initial_meridional_temperature_gradient,100.0,-0.4402192246288905,-0.48448131745241574,-0.39847621740326156,15,,
initial_vertical_structure_standard_vs_u30,standard,1.0,initial_meridional_temperature_gradient,150.0,-1.5790085550785686,-1.7385261272314285,-1.428931604436912,15,,
initial_vertical_structure_standard_vs_u30,standard,1.0,initial_meridional_temperature_gradient,200.0,-2.9484751394193154,-3.247516677144328,-2.6667208127643494,15,,
